"FECHA","EQUIPO","VPNNAME","VPNID","SERVNAME","SERVID","PDN_IPV4_ACTIVE","PDN_IPV4_SETUP","PDN_IPV4_RELEASED","PDN_IPV6_ACTIVE","PDN_IPV6_SETUP","PDN_IPV6_RELEASED","PDN_IPV4V6_ACTIVE","PDN_IPV4V6_SETUP","PDN_IPV4V6_RELEASED","NUM_GTP_BEARER_MODIFIED","NUM_GTP_DB_ACTIVE","NUM_GTP_DB_RELEASED","CURSESS","CURSES_PMIPV6_IPV4","CURSES_PMIPV6_IPV6","CURSES_PMIPV6_IPV4V6","CURSES_GTP_IPV4","TOTPMIPV6_SUCCESS","TOTPMIPV6_FAILURE","PGW_FALLBACK_ATTEMPTED","PGW_FALLBACK_SUCCEEDED","PGW_FALLBACK_FAILED","PGW_FALLBACK_NO_ALTERNATE_PGW","TOTGTP_ATTEMPT","TOTGTP_SUCCESS","TOTGTP_FAILURE","DISCONNECT_TOTAL","DISCONNECT_LOCAL","DISCONNECT_UE","DISCONNECT_PGW","DISCONNECT_REMOTE","SESS_DCON_REMOTE","SESS_DCON_ADMIN","SESS_DCON_IDLE_TIMEOUT","SESS_DCON_ABS_TIMEOUT","SESS_DCON_LONGDUR_TIMEOUT","SESS_DCON_SESSSETUP_TIMEOUT","SESS_DCON_NORESOURCE","SESS_DCON_AUTHFAIL","SESS_DCON_FLOWADD_FAILURE","SESS_DCON_INVALID_DEST","SESS_DCON_SRCADDR_VIOLATION","SESS_DCON_LMAREVOC","SESS_DCON_DUPREQ","SESS_DCON_ADDRASSIGN_FAILURE","SESS_DCON_HANDOFF","SESS_DCON_MISC","REAUTH_ATTEMPT","REAUTH_SUCCESS","REAUTH_FAILURE","REAUTHOR_ATTEMPT","REAUTHOR_SUCCESS","REAUTHOR_FAILURE","TXBYTES","TXPKTS","RXBYTES","RXPKTS","PKT_VIOLATION","EAP_RXTTLSRVRPASSTHRU","NUM_QCI1_BEARER_ACTIVE","NUM_QCI1_BEARER_SETUP","NUM_QCI1_BEARER_RELEASED","NUM_QCI2_BEARER_ACTIVE","NUM_QCI2_BEARER_SETUP","NUM_QCI2_BEARER_RELEASED","NUM_QCI3_BEARER_ACTIVE","NUM_QCI3_BEARER_SETUP","NUM_QCI3_BEARER_RELEASED","NUM_QCI4_BEARER_ACTIVE","NUM_QCI4_BEARER_SETUP","NUM_QCI4_BEARER_RELEASED","NUM_QCI5_BEARER_ACTIVE","NUM_QCI5_BEARER_SETUP","NUM_QCI5_BEARER_RELEASED","NUM_QCI6_BEARER_ACTIVE","NUM_QCI6_BEARER_SETUP","NUM_QCI6_BEARER_RELEASED","NUM_QCI7_BEARER_ACTIVE","NUM_QCI7_BEARER_SETUP","NUM_QCI7_BEARER_RELEASED","APN_EPDG_GTPV2_SUCCESS_RATE","TX_THROUGHPUT","RX_THROUGHPUT","APN_EPDG_SYS_THROUGHPUT"
25.12.2016 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,15,13,17,0,0,0,1,2,2,0,0.25,7,16,0,0,0,15,0,0,0,0,0,0,15,15,0,19,5,11,3,0,1,0,0,0,0,0,0,2,0,0,0,0,5,0,3,10,0,0,0,0,0,0,3747299,56233,2954938,42092,0,53,0.25,7,7,0,1,1,0,0,0,0,0,0,-12884901796,15,19,0,0,0,0,0,0,100,0.0079,0.0063,0.0142
26.12.2016 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,12.5,16,18,0,0,0,1.25,5,6,0,1,11,13.75,0,0,0,12.5,0,0,0,0,0,0,21,21,0,24,6,15,3,0,6,0,0,0,0,0,0,7,0,0,0,0,6,0,2,9,0,0,0,0,0,0,8683011,125726,5997017,87184,0,80,1,11,11,0,1,1,0,0,0,0,0,0,-8589934535,21,24,0,0,0,0,0,0,100,0.0184,0.0127,0.0311
27.12.2016 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,12,27,25,0,0,0,1.25,2,2,0,0.75,13,13.25,0,0,0,12,0,0,0,0,0,0,29,29,0,28,1,21,5,1,11,0,0,0,0,1,0,0,0,0,0,0,1,0,5,10,0,0,0,0,0,0,6419919,92041,6020711,85498,0,91,0.75,14,13,0,1,1,0,0,0,0,0,0,2,29,27,0,0,0,0,0,0,100,0.0136,0.0128,0.0264
28.12.2016 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,7.25,9,11,0,0,0,0.25,0,1,0,0.25,3,7.5,0,0,0,7.25,0,0,0,0,0,0,9,9,0,13,2,9,1,1,3,0,0,0,0,1,0,8,0,0,0,0,2,0,1,6,0,0,0,0,0,0,3061460,41918,2514454,34511,0,45,0.25,3,3,0,1,1,0,0,0,0,0,0,-4294967283,9,12,0,0,0,0,0,0,100,0.0065,0.0053,0.0118
29.12.2016 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,7.75,14,15,0,0,0,1.75,1,0,0,0.25,6,9.5,0,0,0,7.75,0,0,0,0,0,0,15,15,0,18,2,11,2,3,7,0,0,0,0,3,0,0,0,0,0,0,2,0,2,4,0,0,0,0,0,0,2398686,34655,2875999,40396,0,51,0.25,7,6,0,1,1,0,0,0,0,0,0,-4294967280,15,15,0,0,0,0,0,0,100,0.0051,0.0061,0.0112
30.12.2016 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,7.5,10,7,0,0,0,0,2,2,0,0.75,3,7.5,0,0,0,7.5,0,0,0,0,0,0,12,12,0,9,2,5,2,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,5380330,79552,7727598,111901,0,37,0.75,2,3,0,1,1,0,0,0,0,0,0,3,12,9,0,0,0,0,0,0,100,0.0114,0.0164,0.0278
31.12.2016 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,9,12,8,0,0,0,0,0,0,0,0.25,2,9,0,0,0,9,0,0,0,0,0,0,12,12,0,8,2,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,0,0,0,0,0,0,3322187,48909,4140448,61217,0,37,0.25,3,2,0,1,1,0,0,0,0,0,0,-8589934548,12,8,0,0,0,0,0,0,100,0.007,0.0088,0.0158
01.01.2017 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,9,13,11,0,0,0,0.75,1,2,0,0.75,3,9.75,0,0,0,9,0,0,0,0,0,0,14,14,0,40,3,10,0,27,5,0,0,0,0,27,0,8,0,0,0,0,3,0,0,5,0,0,0,0,0,0,4552382,63309,3240503,45033,0,119,0.75,2,3,0,0,0,0,0,0,0,0,0,9.75,14,13,0,0,0,0,0,0,100,0.0096,0.0069,0.0165
02.01.2017 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,8.75,10,13,0,0,0,1.75,3,2,0,1.25,9,10.5,0,0,0,8.75,0,0,0,0,0,0,13,13,0,16,4,10,1,1,5,0,0,0,0,1,0,6,0,0,0,0,4,0,1,5,0,0,0,0,0,0,12269847,173041,5137366,75525,0,61,1.25,8,9,0,0,0,0,0,0,0,0,0,10.5,13,15,0,0,0,0,0,0,100,0.026,0.0109,0.0369
03.01.2017 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,16,54,58,0,0,0,1,0,0,2,0.5,10,17,0,0,0,16,0,0,0,0,0,0,54,54,0,64,29,26,3,6,10,0,0,0,0,6,0,9,0,0,0,0,29,0,3,16,0,0,0,0,0,0,4402209,63010,4220080,58033,0,200,0.5,9,10,0,0,0,0,0,0,0,0,0,17,54,58,0,0,0,0,0,0,100,0.0093,0.0089,0.0183
04.01.2017 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,12,20,24,0,0,0,2.5,8,10,0,0.75,4,14.5,0,0,0,12,0,0,0,0,0,0,28,28,0,38,5,28,1,4,13,0,0,0,0,4,0,6,0,0,0,0,5,0,1,15,0,0,0,0,0,0,4625259,68831,4111421,61106,0,113,0.75,3,4,0,0,0,0,0,0,0,0,0,14.5,28,34,0,0,0,0,0,0,100,0.0098,0.0087,0.0185
05.01.2017 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,10.5,32,34,0,0,0,0.75,3,4,4,0.25,23,11.25,0,0,0,10.5,0,0,0,0,0,0,35,35,0,42,6,29,3,4,11,0,0,0,0,4,0,10,0,0,0,0,6,0,1,18,0,0,0,0,0,0,4679075,63671,2768802,36072,0,138,0.25,23,23,0,0,0,0,0,0,0,0,0,11.25,35,38,0,0,0,0,0,0,100,0.0099,0.0059,0.0158
06.01.2017 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,9,23,22,0,0,0,4.5,-4294965296,-4294965290,0,0.5,3,13.5,0,0,0,9,0,0,0,0,0,0,29,29,0,33,10,18,1,3,6,0,0,0,0,3,0,0,0,0,0,0,10,0,1,12,0,0,0,0,0,0,1853840,27375,7061942,95630,0,94,0.5,5,3,0,0,0,0,0,0,0,0,0,13.5,29,30,0,0,0,0,0,0,100,0.0039,0.015,0.0189
07.01.2017 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,2.5,11,11,0,0,0,1.75,5,4,0,0.25,9,4.25,0,0,0,2.5,0,0,0,0,0,0,16,16,0,16,3,11,1,1,6,0,0,0,0,1,0,11,0,0,0,0,3,0,0,5,0,0,0,0,0,0,1773742,25914,1243868,16842,0,84,0.25,9,9,0,0,0,0,0,0,0,0,0,4.25,16,15,0,0,0,0,0,0,100,0.0038,0.0026,0.0064
08.01.2017 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,7,19,17,0,0,0,1.75,5,5,0,0.25,3,8.75,0,0,0,7,0,0,0,0,0,0,24,24,0,24,7,15,0,2,5,0,0,0,0,2,0,0,0,0,0,0,7,0,0,10,0,0,0,0,0,0,3183101,46528,1193732,15714,0,79,0.25,4,3,0,0,0,0,0,0,0,0,0,8.75,24,22,0,0,0,0,0,0,100,0.0067,0.0025,0.0093
09.01.2017 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,12.5,36,37,0,0,0,1.5,14,15,4,0.25,30,14,0,0,0,12.5,0,0,0,0,0,0,50,50,0,54,9,38,3,2,29,0,0,0,0,2,0,32,0,0,0,0,9,0,0,9,0,0,0,0,0,0,3064064,40025,3195339,38745,0,200,0.25,30,30,0,0,0,0,0,0,0,0,0,14,50,52,0,0,0,0,0,0,100,0.0065,0.0068,0.0133
10.01.2017 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,5.5,37,36,0,0,0,1.75,0,1,10,0.5,18,7.25,0,0,0,5.5,0,0,0,0,0,0,37,37,0,38,2,30,2,1,19,0,0,0,0,1,0,5,0,0,0,0,2,0,1,11,0,0,0,0,0,0,4248021,58100,5344634,60233,0,124,0.5,17,17,0,1,1,0,0,0,0,0,0,7.25,37,37,0,0,0,0,0,0,100,0.009,0.0113,0.0203
11.01.2017 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,9.25,47,43,0,0,0,2,1,1,0,0.75,12,11.25,0,0,0,9.25,0,0,0,0,0,0,48,48,0,45,6,35,0,1,29,0,0,0,0,1,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,6586602,93141,5353046,74963,0,148,0.75,12,12,0,0,0,0,0,0,0,0,0,11.25,48,44,0,0,0,0,0,0,100,0.014,0.0113,0.0253
12.01.2017 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,7,9,9,1,0,2,0.5,8,8,0,0.5,3,8.5,0,0,0,7,0,0,0,0,0,0,17,17,0,19,5,8,6,0,5,0,0,0,0,0,0,3,0,0,0,0,5,0,0,3,0,0,0,0,0,0,6353397,86689,4160934,56626,0,57,0.5,3,3,0,0,0,0,0,0,0,0,0,8.5,17,19,0,0,0,0,0,0,100,0.0135,0.0088,0.0223
13.01.2017 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,9.75,135,134,4,0,0,1.75,1,3,2,0.75,13,15.5,0,0,0,9.75,0,0,0,0,0,0,136,136,0,139,32,99,0,2,90,0,0,0,0,2,0,8,0,0,0,0,32,0,0,9,0,0,0,0,0,0,6032565,60809,8783281,83983,0,429,0.75,14,13,0,0,0,0,0,0,0,0,0,15.5,136,137,0,0,0,0,0,0,100,0.0128,0.0186,0.0314
13.01.2017 00:00:00,"TOR-ASR5K5-1","ePDG",6,"epdg_svc",21,18.5,24,24,2.5,4,2,1,4,4,0,0.5,18,22,0,0,0,18.5,0,0,0,0,0,0,32,32,0,30,3,26,1,0,13,0,0,0,0,0,0,4,0,0,0,0,3,0,0,13,0,0,0,0,0,0,6990369,92626,6740806,87089,0,109,0.5,18,18,0,0,0,0,0,0,0,0,0,22,32,30,0,0,0,0,0,0,100,0.0148,0.0143,0.0291
14.01.2017 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,5.75,5,7,0,0,0,0,0,0,0,0.5,11,5.75,0,0,0,5.75,0,0,0,0,0,0,5,5,0,7,1,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,921288,12809,824216,11132,0,15,0.5,11,11,0,0,0,0,0,0,0,0,0,5.75,5,7,0,0,0,0,0,0,100,0.002,0.0017,0.0037
14.01.2017 00:00:00,"TOR-ASR5K5-1","ePDG",6,"epdg_svc",21,14,26,23,2.75,3,3,2,7,7,0,0.25,3,18.75,0,0,0,14,0,0,0,0,0,0,36,36,0,35,8,25,0,2,16,0,0,0,0,2,0,97,0,0,0,0,8,0,0,9,0,0,0,0,0,0,1944569,23909,1700996,18766,0,312,0.25,4,3,0,0,0,0,0,0,0,0,0,18.75,36,33,0,0,0,0,0,0,100,0.0041,0.0036,0.0077
15.01.2017 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,6.5,17,18,0,0,0,0,0,0,0,0,4,6.5,0,0,0,6.5,0,0,0,0,0,0,17,17,0,18,4,13,1,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,1,5,0,0,0,0,0,0,1646375,22836,805605,10527,0,53,0,4,4,0,0,0,0,0,0,0,0,0,6.5,17,18,0,0,0,0,0,0,100,0.0035,0.0017,0.0052
15.01.2017 00:00:00,"TOR-ASR5K5-1","ePDG",6,"epdg_svc",21,22,43,43,2.75,1,1,3,11,11,0,0,2,27.75,0,0,0,22,0,0,0,0,0,0,55,55,0,58,17,33,5,3,20,0,0,0,0,3,0,20,0,0,0,0,17,0,0,13,0,0,0,0,0,0,3257749,43162,2998953,37382,0,232,0,3,2,0,0,0,0,0,0,0,0,0,27.75,55,55,0,0,0,0,0,0,100,0.0069,0.0064,0.0133
16.01.2017 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,12,23,25,0,0,0,3,2,2,0,0.5,3,15,0,0,0,12,0,0,0,0,0,0,25,25,0,29,8,19,0,2,12,0,0,0,0,2,0,6,0,0,0,0,8,0,0,7,0,0,0,0,0,0,4187407,56880,3801772,51341,0,95,0.5,2,3,0,0,0,0,0,0,0,0,0,15,25,27,0,0,0,0,0,0,100,0.0089,0.0081,0.0169
16.01.2017 00:00:00,"TOR-ASR5K5-1","ePDG",6,"epdg_svc",21,25.75,55,51,2.25,1,1,5,17,13,2,1.25,13,33,0,0,0,25.75,0,0,0,0,0,0,73,73,0,109,28,36,1,44,21,0,0,0,0,44,0,26,0,0,0,0,28,0,0,15,0,0,0,0,0,0,13124887,183018,4053793,52988,0,341,1.25,12,13,0,0,0,0,0,0,0,0,0,33,73,65,0,0,0,0,0,0,100,0.0278,0.0086,0.0364
17.01.2017 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,6.5,17,13,1.5,1,2,3.25,2,1,0,1,3,11.25,0,0,0,6.5,0,0,0,0,0,0,20,20,0,18,5,10,1,2,5,0,0,0,0,2,0,15,0,0,0,0,5,0,1,5,0,0,0,0,0,0,9350938,83431,10394123,91136,0,97,1,2,3,0,0,0,0,0,0,0,0,0,11.25,20,16,0,0,0,0,0,0,100,0.0198,0.022,0.0418
17.01.2017 00:00:00,"TOR-ASR5K5-1","ePDG",6,"epdg_svc",21,25.5,62,60,3.5,2,5,8,13,11,0,1.5,16,37,0,0,0,25.5,0,0,0,0,0,0,77,77,0,90,21,53,0,14,37,0,0,0,0,14,0,192,0,0,0,0,21,0,0,16,0,0,0,0,0,0,17656087,191205,13887604,142739,0,805,1.5,14,16,0,0,0,0,0,0,0,0,0,37,77,76,0,0,0,0,0,0,100,0.0374,0.0294,0.0668
18.01.2017 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,13.75,15,17,0,0,0,1.75,28,24,0,0.75,5,15.5,0,0,0,13.75,0,0,0,0,0,0,43,43,0,41,6,34,1,0,28,0,0,0,0,0,0,0,0,0,0,0,6,0,1,6,0,0,0,0,0,0,5479734,72432,4874901,57238,0,132,0.75,7,5,0,0,0,0,0,0,0,0,0,15.5,43,41,0,0,0,0,0,0,100,0.0116,0.0103,0.0219
18.01.2017 00:00:00,"TOR-ASR5K5-1","ePDG",6,"epdg_svc",21,24.25,66,67,3.25,2,5,4,14,12,8,0.5,35,31.5,0,0,0,24.25,0,0,0,0,0,0,82,82,0,91,22,57,5,7,30,0,0,0,0,7,0,31,0,0,0,0,22,0,5,27,0,0,0,0,0,0,7816938,87663,8190126,83982,0,330,0.5,36,35,0,0,0,0,0,0,0,0,0,31.5,82,84,0,0,0,0,0,0,100,0.0166,0.0174,0.0339
19.01.2017 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,9.75,27,28,1,2,2,2,0,0,2,1,13,12.75,0,0,0,9.75,0,0,0,0,0,0,29,29,0,31,0,26,4,1,18,0,0,0,0,1,0,11,0,0,0,0,0,0,4,8,0,0,0,0,0,0,6936973,4295066099,5572640,78450,0,116,1,12,13,0,0,0,0,0,0,0,0,0,12.75,29,30,0,0,0,0,0,0,100,0.0147,0.0118,0.0265
19.01.2017 00:00:00,"TOR-ASR5K5-1","ePDG",6,"epdg_svc",21,34.5,82,81,3.25,2,1,8.25,12,14,6,0.75,14,46,0,0,0,34.5,0,0,0,0,0,0,96,96,0,97,38,57,1,1,34,0,0,0,0,1,0,5,0,0,0,0,38,0,1,23,0,0,0,0,0,0,7352845,96947,7937534,101060,0,318,0.75,13,14,0,0,0,0,0,0,0,0,0,46,96,96,0,0,0,0,0,0,100,0.0156,0.0168,0.0324
20.01.2017 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,10.5,28,24,1,1,1,2.25,2,3,0,0.25,8,13.75,0,0,0,10.5,0,0,0,0,0,0,31,31,0,28,6,21,0,0,14,0,0,0,0,0,0,17,0,0,0,0,6,0,0,7,0,0,0,0,0,0,3540248,46463,3974643,51135,0,133,0.25,8,8,0,0,0,0,0,0,0,0,0,13.75,31,28,0,0,0,0,0,0,100,0.0075,0.0084,0.0159
20.01.2017 00:00:00,"TOR-ASR5K5-1","ePDG",6,"epdg_svc",21,19.75,48,58,1.5,4,2,7.5,20,18,0,0.25,20,28.75,0,0,0,19.75,0,0,0,0,0,0,72,72,0,83,25,51,2,5,28,0,0,0,0,5,0,33,0,0,0,0,25,0,2,23,0,0,0,0,0,0,6622307,88904,6332181,82165,0,344,0.25,21,20,0,0,0,0,0,0,0,0,0,28.75,72,78,0,0,0,0,0,0,100,0.014,0.0134,0.0275
21.01.2017 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,7.25,8,10,2,0,0,2,2,2,0,0.5,3,11.25,0,0,0,7.25,0,0,0,0,0,0,10,10,0,14,3,9,0,2,4,0,0,0,0,2,0,1,0,0,0,0,3,0,0,5,0,0,0,0,0,0,2714083,38022,3736994,51292,0,36,0.5,2,3,0,0,0,0,0,0,0,0,0,11.25,10,12,0,0,0,0,0,0,100,0.0058,0.0079,0.0137
21.01.2017 00:00:00,"TOR-ASR5K5-1","ePDG",6,"epdg_svc",21,26.75,46,50,2.75,1,0,6.75,13,14,0,1,4,36.25,0,0,0,26.75,0,0,0,0,0,0,60,60,0,66,18,46,0,2,29,0,0,0,0,2,0,1,0,0,0,0,18,0,0,17,0,0,0,0,0,0,6319634,89550,4020423,53815,0,190,1,6,4,0,0,0,0,0,0,0,0,0,36.25,60,64,0,0,0,0,0,0,100,0.0134,0.0085,0.0219
22.01.2017 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,11.75,8,6,1,0,0,1,0,0,0,0,0,13.75,0,0,0,11.75,0,0,0,0,0,0,8,8,0,6,2,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,59757,75,88721,129,0,26,0,0,0,0,0,0,0,0,0,0,0,0,13.75,8,6,0,0,0,0,0,0,100,0.0001,0.0002,0.0003
22.01.2017 00:00:00,"TOR-ASR5K5-1","ePDG",6,"epdg_svc",21,30.25,46,58,0,0,0,10,15,14,0,0,0,40.25,0,0,0,30.25,0,0,0,0,0,0,61,61,0,75,30,42,0,3,27,0,0,0,0,3,0,255,0,0,0,0,30,0,0,15,0,0,0,0,0,0,415259,1095,783041,3346,0,705,0,0,0,0,0,0,0,0,0,0,0,0,40.25,61,72,0,0,0,0,0,0,100,0.0009,0.0017,0.0025
23.01.2017 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,11.75,22,23,1.25,3,2,3,4,4,8,1.5,35,16,0,0,0,11.75,0,0,0,0,0,0,29,29,0,31,6,19,3,2,16,0,0,0,0,2,0,12,0,0,0,0,6,0,2,3,0,0,0,0,0,0,7941141,108234,4444169,56728,0,118,1.5,33,35,0,0,0,0,0,0,0,0,0,16,29,29,0,0,0,0,0,0,100,0.0168,0.0094,0.0262
23.01.2017 00:00:00,"TOR-ASR5K5-1","ePDG",6,"epdg_svc",21,45,83,81,0.75,1,2,6.75,14,14,0,0.75,6,52.5,0,0,0,45,0,0,0,0,0,0,98,98,0,98,36,60,1,1,29,0,0,0,0,1,0,29,0,0,0,0,36,0,0,31,0,0,0,0,0,0,7667144,109188,6349673,85547,0,384,0.75,5,6,0,0,0,0,0,0,0,0,0,52.5,98,97,0,0,0,0,0,0,100,0.0162,0.0135,0.0297
24.01.2017 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,12.25,23,24,2,3,1,3.75,5,5,17,1.25,18,18,0,0,0,12.25,0,0,0,0,0,0,31,31,0,30,7,18,5,0,9,0,0,0,0,0,0,17,0,0,0,0,7,0,0,9,0,0,0,0,0,0,4574949,63180,3577464,48772,0,133,1.25,21,18,0,0,0,0,0,0,0,0,0,18,31,30,0,0,0,0,0,0,100,0.0097,0.0076,0.0173
24.01.2017 00:00:00,"TOR-ASR5K5-1","ePDG",6,"epdg_svc",21,27,64,55,1.75,5,4,6,7,7,2,0.75,23,34.75,0,0,0,27,0,0,0,0,0,0,76,76,0,74,19,45,2,8,23,0,0,0,0,8,0,233,0,0,0,0,19,0,2,22,0,0,0,0,0,0,14373990,50194,19214017,51554,0,857,0.75,19,18,0,4294967301,4294967301,0,0,0,0,0,0,34.75,76,66,0,0,0,0,0,0,100,0.0305,0.0407,0.0712
